date,year,quarter,starts_all,starts_private,comp_all,comp_private,hpi_index,hpi_price,hpi_index_rebased,base_rate,transactions_england,transactions_spliced_flag,housing_stock_eng,epc_lodgements,cpih_hist_flag,hpi_real,lrprc,cc_real,lrcc,cc_spliced_flag,lhstarts,lvol,lstock
1991-04-01,1991,2,37560,32500,38960,32150,2931.046582193702,55418.4632169171,28.580946876401857,11.732166666666666,276131.0167001399,1,19699881.597641665,,0,48.329027842438826,3.8780323706627287,68.10431678355225,4.221040600038579,1,10.388995368317829,12.528630730254658,16.796123183418157
1991-07-01,1991,3,36410,31460,38780,32890,2903.7974989683426,54903.25396517977,28.315238168520533,10.789433333333333,260741.8580616688,1,19740960.332779985,,0,47.37235677413245,3.858038868160206,67.25428346042797,4.208480711032389,1,10.356472176612268,12.471286147300411,16.798206239863283
1991-10-01,1991,4,29600,24650,39710,34860,2836.7272966833607,53635.13098110233,27.661229494573806,10.375,257259.77380854607,1,19788531.485697057,,0,45.6920557138479,3.821924447205806,66.0223276740773,4.189992982908609,1,10.112532179470836,12.457841646399427,16.800613109959187
1992-01-01,1992,1,34370,26940,37690,32150,2760.1164580469217,52186.61939183476,26.91418906112363,10.375,246160.183634344,1,19836000.0,,0,44.26306942768947,3.7901506821435116,65.10192346971093,4.175954095163767,1,10.201367449964355,12.413737755991518,16.803009026591162
1992-04-01,1992,2,36510,28910,33850,28550,2785.3134648329765,52663.029218356285,27.15988775345133,10.050433333333332,238782.57504527396,1,19878089.45270519,,0,43.75557104641011,3.7786189429004624,63.15535432942059,4.145597632683173,1,10.271942835010393,12.383308689016093,16.805128650585747
1992-07-01,1992,3,32570,24510,36240,29850,2763.1008388209702,52243.04626582463,26.943290075375742,9.768933333333335,231425.38325041748,1,19915899.344074026,,0,43.360050645712654,3.769538525159137,62.593754744358264,4.136665508662127,1,10.106836476522158,12.35201278197992,16.807028932708242
1992-10-01,1992,4,25850,19230,36050,28980,2653.357253604975,50168.0806622301,25.87316870707708,7.5178666666666665,195176.3859639517,1,19951698.53052973,,0,41.37155534597787,3.7225935757535042,61.580021426499044,4.12033749044204,1,9.864226838582825,12.18165897209791,16.80882483705092
1993-01-01,1993,1,38810,29110,36320,28530,2651.25770068534,50128.383580322356,25.852695743315664,6.141666666666667,237095.12700352317,1,19987000.0,,0,41.22893357576351,3.719140281134807,59.58118248484704,4.08733979409804,1,10.278837036739668,12.376216719347662,16.810592620176678
1993-04-01,1993,2,41080,31560,35610,27890,2745.9167024324443,51918.13896610876,26.775725734289864,5.875,264558.77773989394,1,20022604.451909643,,0,42.1408621571018,3.7410178675189556,60.49002752709227,4.102478517187198,1,10.35964577495981,12.485818727671816,16.812372415893034
1993-07-01,1993,3,38320,30130,35910,28550,2736.8261877223317,51746.26098977575,26.68708315877187,5.875,252434.2644961711,1,20059918.675497692,,0,41.891458767936115,3.7350819581276427,60.45218220623349,4.101852675767937,1,10.313276632124348,12.438906155174543,16.81423428642692
